"name","vicinity","type","latitude","longitude","rating","reviews","place_id","Sentiment Ratio"
"New Delhi","New Delhi","['locality', 'political']","28.6139298","77.2088282","","[]","ChIJLbZ-NFv9DDkRzk0gTkm3wlI"
"Manraj B&b","L 1/2, South Extension II, New Delhi","['lodging', 'point_of_interest', 'establishment']","28.57009109999999","77.2193126","","[]","ChIJg3IIvF3iDDkRhZxTyMun76c"
"Time Centre","81-A, Khanna Market Road, Nehru Stadium, Lodi Colony, New Delhi","['point_of_interest', 'store', 'establishment']","28.5815944","77.2203141","","['Very dishonest. Initially he told the price of 250 for battery replacement and at the time of payment he said 450. Dont go there. Pathetic guy. And that battery is for rs50.', '&&&&&', 'Gave my antique clock to fix charged a lot but did a terrible job. Had to get it done all over again from a professional now it’s working smoothly. Would not trust them with expensive stuff.', '&&&&&', 'Dont believe what this dude says. Without asking the price i gave 2 watch to replace battery. this chor charged 700 rupees. I checked the price, its only 20rs in amazon. Chor.', '&&&&&', 'Its a shop located in Khanna Market Lodhi road , owner of the shop is very good. All types of watches are available as per your budget. I have bought watches from here several times.', '&&&&&', ""In simple don't trust his words, to sale his products he will say anything later he will be having all excuses to denied what he said."", '&&&&&']","ChIJ922KgfTiDDkRoMugs1Sykcw"
"Deluxe Store","41, Defence Colony, New Delhi","['drugstore', 'department_store', 'health', 'point_of_interest', 'store', 'establishment']","28.5735205","77.2304928","","['It took them 5 mins to decide if they have peanuts or not. Inefficient staff.', '&&&&&', 'quality products', '&&&&&', 'Great place', '&&&&&', 'Deluxe store', '&&&&&', '', '&&&&&']","ChIJZ1LNSVfiDDkR2cVBaKkA9XU"
"Softdot Education","K-16, Mahatma Gandhi Road, South Extension I, New Delhi","['point_of_interest', 'establishment']","28.5696119","77.2180163","","['Fake institute, they are totally play with the career of student ( i lost my money and time very bad experience) Affiliated university are also fake i.e Mahatma Gandhi University, Meghalya. They are cheat the international student also my degree is not valid in my country also (institute & university both are fake) Indian government why support this type of study centers?', '&&&&&', 'Fake institute. In 2014 I have done my graduation from them. Now, when I applied for my degree in University, they told me that degree is fake... They have wasted my 5 years, and that 3 yrs too.... I have them 25000 for the course. WORST INSTITUTE. And the comments given with 5 star, are all their employees..... WARNING! NEVER TAKE ADMISSION HERE !!!!!!!!!!!', '&&&&&', 'i wasted 3 precious years of my life\nand 20000 rupees fees and an advance 15000 rupees fees. some one should file a fir against the owner of this institute\nthis is a scam.', '&&&&&', ""Pathetic services they guys are providing trust me I've done my Hotel Management from Softdot institute 2014 and still I didn't get any marksheet  please refund my money I've done police complaint also but no response from them\nNow I'm working with BPO just because of you guys #softdot sucks 🖕"", '&&&&&', ""Don't reach out to Softdot, the environment of Softdot is very bad as compare to other institute. No one respond in a proper manner now. So don't go for it."", '&&&&&']","ChIJqcjMwoMdDTkRlvx8423M8u8"
"Skylink Suites","H, 7, South Extension I, South Delhi","['lodging', 'point_of_interest', 'establishment']","28.5713537","77.2216006","","['Premium family hotel with excellent service and amenities. The spacious rooms along with the courteous staff make up the highlight of this property. The location is perfect for work and shopping visits.\n\nSpecial mention to Mr. Ajay Pandey for exceptional management and welcoming nature.', '&&&&&', 'Decently good rooms, located close to metro, bus and other shopping areas.\nService is great and would definitely recommend for the price', '&&&&&', 'Excellent hotel. Great service\nThe room was very spacious, clean, and had the amenities we needed. Breakfast was delicious. The people in the reception specially Krishna was really were very helpful, not just on checkin and checkout, but also supported. The location is great- very near to\nSouth extension metro Station. I would recommend to friends and definitely staying again and again from so many times. At last but not least the owner of Skylink suites i.e Ajay also supported every time specially in advance booking and for the services.', '&&&&&', ""We were unsure at the time of booking as this was our first Hotel booking in Delhi.\n- We were able to reached the place easily. Hardly 300 meters from South Ex Metro Station\n- Staff was helpful starting from front desk and all helpers\n- Room was very good and worth the money\n- Quite locality\n- Good sunlight in room\n- Watercooler available so you can refill\n- Breakfast was good, they don't have buffet. They serve the breakfast in room"", '&&&&&', ""We stayed here for two nights and staff were polite and good to interact with. However our stay was a nightmare. A/C didn't work on both nights and we'd to struggle to sleep as it was humid and hot weather outside. We reported the issue next day and it was repaired promptly. But again it got broke down after few hours in the middle of the night. We discussed the issue with the staff, manager and requested to hire a electrician or provide us accommodation in another hotel but our requests were declined. At the end we had to adjust with a small cooler which wasn't helping at all. We requested for a partial refund as A/C wasn't functional during our stay but it wasn't honored."", '&&&&&']","ChIJn4gzI1ziDDkR9O77oIjkc7E"
"Tanishq Jewellery - Delhi - South Extension","F-44, Mahatma Gandhi Road, South Extension I, Part-I, Block F, New Delhi","['jewelry_store', 'point_of_interest', 'store', 'establishment']","28.5692372","77.2185251","","['Dear Joyti,\n\nYour guidance in navigating the world of gold purchases has been an invaluable treasure in my life. Each encounter with you has been a testament to your exceptional dedication and generosity.\n\nThank you for all your help', '&&&&&', 'I am satisfied with customer service 1st time diamond purchase from here seema singh is a very nice staff supportive', '&&&&&', ""Beautiful place. Lots of designs of all types available. Even more than any other branch I've seen in delhi n other cities  Staff is very helpful. Mr. Shadab guided us throughout our purchase. Thank you."", '&&&&&', 'We liked the services of Vansh here. He is very patient and cooperative. He advised us to buy good product with good design from Tanishq store. I would highly recommend him to be rated as very good and excellent. Very Good marketing skills with friendly nature.', '&&&&&', 'Hi, we had a wonderful experience shopping here. Our customer executive Ms Preeti she helped us with so much patience and cooperative. She is very cheerful and had a good knowledge about how to deal with the customer. We wish her success in future. Thank you 💓', '&&&&&']","ChIJEV_DCl3iDDkREH0rfSYLvD4"
"iExpress Building Confidence","F3, BLOCK-F, 108, Charmwood Village, Surajkund, Faridabad","['point_of_interest', 'establishment']","28.570802","77.218437","","[""It's a shoppers paradise. The place is well organised and maintained. One can have a great deal, if there negotiation skills are good. Form branded to local (but impressively good quality),home making to fashion ,you can get every possible item. And when you get tired of carrying your shopping bags, then sat down in the green spots and watch the magically cantroled chaos and relax. Must visit the food joints, they have some delectable snacks & meals."", '&&&&&', 'From Food to Shopping, it is a super great place for everything. Neither it is a high end market nor a cheap one. Many tourist can be spotted easily. Whatever your need is, from clothing to anything or even snacking. You will find everything in Lajpat Nagar. Only thing it feels a bit crowded :)', '&&&&&', 'Centrally located in Lajpat Nagar accessible by Metro is good market for all kind of shopping and eateries. All types of shop ranging from.high end shops to street shops and hawkers available. Parking is a major issue here and sometimes not available on weekends. On weekends it is very congested and polluted with ttaffic jams. Prices are on higher side as compared to chandani chowk and one has to bargain hard to get the right price.', '&&&&&', 'Good for shopping clothes at very low prices especially for women. This place also has famous street food joints like golden Fiesta, dolma aunty and many more.\nOverall a good place for shopping and eating.', '&&&&&', 'Its good only if reach early and check out by 1 pm or so. After that its a messy place heavily crowded. Good option for ladies suits n shoes however always bargain here else you will feel cheated. Govt should improve this market n make it more pedestrian friendly and remove hawkers menace eating up pedestrian space.', '&&&&&']","ChIJK283Q63jDDkRpG7c_7AdTGE"
"Red Maple Bed & Breakfast","49, Amrit Nagar, New Delhi","['lodging', 'point_of_interest', 'establishment']","28.57353639999999","77.2196364","","['Commuting with a cab is difficult. Rooms are not ventilated, very stale, and a bit difficult to stay longer.\nThe staff and kitchen are very good.', '&&&&&', ""Red Maple was the best accommodation that I stayed in in my 2.5 month stay in India. The staff / personnel were outstanding and went out of there way to be helpful and responsive to requests. If I'm coming to Delhi again, I'm staying here."", '&&&&&', 'Affordable and nice home stay experience. Peaceful environment.\nWill definitely recommend it to family and friends.', '&&&&&', 'Stayed for 2 nights. Fantastic experience. The staffs are very friendly,humble, supportive and well-behaved. The complimentary breakfast served was yummy and sufficient enough. You can order from Swiggy/Zomato or you can also give order to the staffs to cook the desired meal from the menu available by paying some extra charges, since the place has its own in house kitchen.\n\nOverall experience was very good. The staffs working here put a lot of effort in providing the hospitality to the guests.', '&&&&&', 'Excellent Hotel with homely food and close proximity to India habitat and scope convention', '&&&&&']","ChIJAQDARl7iDDkRPMvE7jjAm4s"
"Bhatia Musicals","Shop No-2, Lodhi Road, New Khanna Market, New Delhi","['point_of_interest', 'store', 'establishment']","28.58059719999999","77.220816","","['Beware, avoid this store at all costs. The owner is a cheat, he will sweet talk and manipulate you into thinking he knows what he’s talking about, but he hasn’t got a clue and just spews nonsense with sheer confidence.\n\nWent there to get my guitar action fixed and strings replaced, cheated me, charged me an exorbitant amount and didn’t even change the strings at the end of the day (which I realised much later).\n\nAbsolute scammer, better off ordering stuff online.', '&&&&&', 'This is best musical shop that I ever reached .\nEvery instrument are in suitable price .\nWorkers behavior are also good .\nI must recommend to visit once.', '&&&&&', ""It's a nice store. You will get a lot of options to choose from. I bought an  ibanez GRX 55 guitar. Amazing sound quality. Only thing is the store owner doesn't give much discount. Even the guitar strap which he claimed is original turned out to be very bad quality. It broke in a couple of days. I would recommend that you first visit other stores and find out what the rates are or on the internet. Then you could visit this store."", '&&&&&', 'Very knowledgeable,\nI always buy my tabla here, still even after 10 yrs, no problem,\n\nThey are able to pack it very nicely for scratch proof on air trave.\n\nWould recommend them, they have lots of stuff. Mr Sandeep Bhatia and staff are always eager to help, they even have a dedicated auto 🛺 person, to deliver your instruments home.\n\nI have known this place for past 20 plus years, during my visit to India 🇮🇳 i make sure to visit them.', '&&&&&', 'They’re all about money don’t care about music , people or doing proper business. Thugs', '&&&&&']","ChIJ922KgfTiDDkR1-hi5sK0KJ0"
